ej	tipo	numero	do	cliente	ref_cliente	destinacion	fecha	descripcion
26	GMCE	26-GMCE-001153		AGROBAG SRL	TGL FOODS S.A. FCE 01000-00000001	26001EC01061709L	07/09/2026	 
26	GMCE	26-GMCE-001145		CRUX MARINE SAS 	FCE-4-51_AEROMARINE	26001EC01059737T	31/08/2026	EXPORT TERRESTRE CONSOLIDADA CON BATERIAS DE LITIO, DESTINO: URUGUAY
26	GMCE	26-GMCE-001132		ENTRE EDITORES SRL	EXPO COLOMBIA EDICIONES MONSERRATE	26001EC01058134J	25/08/2026	FCE 00006-00000001 Envío Marítimo Colombia26001 EC01 058134 J 2bultos kg:597,000 Canal Rojo
26	GMCE	26-GMCE-001118		EDICIONES LEA S.A.	EXPO PENGUIN RANDOM HOUSE FCE 0005-00000483	26001EC01053466M	05/08/2026	 
26	GMCE	26-GMCE-001116		MISIONEROS CLARETIANOS O HIJOS DEL 	FE52-00000010 Ediciones Paulin	26001EC01053624X	06/08/2026	Exportación martítima consolidada.Gestión Forward Ediciones Paulinas Guadalajara SA DE CV  34 cajas  Kg Bruto 860 Kg Neto 833
26	GMCE	26-GMCE-001099		FRIUL TRADE SA	EXPO PY VILUX SA FCE 00004-00000003	26001EC01051530C	29/07/2026	 
26	GMCE	26-GMCE-001098		A Z EDITORA S.A.	EXPO CHILE EMPRESA EDITORA ZIGZAG FCE 00998-00000185	26001EC01050912F	27/07/2026	Exportación consolidada a Chile. Tte. Logística Lerol. Bultos: 3 pallets kg Bruto 1698. Canal Verde 26001EC01050912F.
26	GMCE	26-GMCE-001080		MARTIN EDUARDO	EXPORTACION A PARAGUAY_FCE-00004-00000005	26001EC01048270J	16/07/2026	EXPORTACION TERRESTRE CONSOLIDADA COMPRADOR: COMFAR SAECA
26	GMCE	26-GMCE-001076		SOCIEDAD DE SAN PABLO	EXPO PERU FCE 00915-00000079	26001EC01060178K	01/09/2026	 
26	GMCE	26-GMCE-001075		MISIONEROS CLARETIANOS O HIJOS DEL 	EXPO GUATEMALA DISTRIBUIDORA AVE MARÍA S.A. FCE 00052-00000009	26001EC01047339Y	13/07/2026	 
26	GMCE	26-GMCE-001066		SOCIEDAD DE SAN PABLO	E00915-00000077 // E00915-0000078	26001EC01043568Y	26/06/2026	Exportación consolidada a Paraguay Tte Austral S.A. // a.hartrodt Argentina SA Cantidad de cajas: 24 cajas. Peso bruto: 584,22 kg. Peso neto: 564,22 kg. 
26	GMCE	26-GMCE-001059		GM CARGO SRL	EXPO PY CONMEBOL SUDAMERICANA FCE 00005-00000043	26001EC01045043E	02/07/2026	EXPO MEGATROPHY CONMEBEOL_LTL EN CONSOL GMC/AGROLOG
26	GMCE	26-GMCE-001057	 	ENERGY GROUP SRL	ENERGY GROUP FCE 0015-00001223 - 0015-00001225 - 0015-00001226	26012EC01003485K	19/06/2026	EXPO ENERGY GROUP - AGROPECUARIA ITABO // CLORINDA
26	GMCE	26-GMCE-001055		GM CARGO SRL	EXPO PY GM A ARTES Y ESTRUCTURA FCE 00005-00000042	26012EC01003360C	12/06/2026	 
26	GMCE	26-GMCE-001044		INGENIERIA AGREST SRL	EXPO CLORINDA MERCANTIL COMERCIAL 00101-00000066	26046EC01000393M	12/06/2026	 
26	GMCE	26-GMCE-001042		JMH SRL		26001EC01036010V	29/05/2026	 
26	GMCE	26-GMCE-001032		PANTOQUIMICA S.A.	EXPO PY NEO METAL SA FCE 00094-00000067	26001EC01035399R	27/05/2026	 
26	GMCE	26-GMCE-001031		LA LEY S.A.U.E. E I.	EXPO LIBROS LA LEY	26001EC01034920G	26/05/2026	 
26	GMCE	26-GMCE-001026		EDICIONES LEA S.A.	MR BOOK 0005-00000481	26001EC01033094H	19/05/2026	MR BOOK 0005-00000481
26	GMCE	26-GMCE-001025		CRUX MARINE SAS 	CRUX UY 00004-00000049	26012EC01003361D	12/06/2026	 
26	GMCE	26-GMCE-001024		EDICIONES LEA S.A.	Pengüin Random House Grupo Editorial S.A. 0005-00000480	26001EC01031764J	14/05/2026	 
26	GMCE	26-GMCE-001023		SAUVE SA	INTERBARGE PARAGUAY / URUGUAY SRL 0011-00000514	26001EC01032166G	15/05/2026	 
26	GMCE	26-GMCE-001007		STORAGE DESIGN SRL	BORGARO SA 00099-00000049	26001EC01024072D	15/04/2026	 
26	GMCE	26-GMCE-001006		CULTURAL LIBRERA AMERICANA S.A.	CULTURAL - ARQUETIPO FE 0003-00000073	26001EC01023770H	14/04/2026	EC01 BS. AS. / UY GUALEGUAYCHÚ Tte Rolando SA CULTURAL - ARQUETIPO FE 0003-00000073 7BULTOS  Peso Bruto 4690,38 Kg, Canal Naranja.
26	GMCE	26-GMCE-000994		MERCO - GLASS SRL	EXPO FINEZA SA 00003-00000227	26001EC01022039E	07/04/2026	EC01 BS. AS. / PY CLORINDA MERCO GLASS SRL
26	GMCE	26-GMCE-000989		LA LEY S.A.U.E. E I.	EXPO LIBROS LA LEY 0166-00008059	26001EC01020581E	30/03/2026	EC01 BS.AS. / PY CLORINDA LA LEY
26	GMCE	26-GMCE-000988		CRUX MARINE SAS 	EXPO A URUGUAY LOTE 3 FCE: 47	26026EC01002200W	12/05/2026	EXPORT TERRESTRE FTL X 2 CAMIONES
26	GMCE	26-GMCE-000986		EDICIONES LEA S.A.	EXPO PENGUIN RANDOM HOUSE 0005-00000476	26001EC01020093C	27/03/2026	 
26	GMCE	26-GMCE-000982		CULTURAL LIBRERA AMERICANA S.A.	ARQUETIPO EXPO UY	26001EC01017439M	17/03/2026	Exportación a Arquetipo según Factura E 00003-00000072  Se envían 4 bultos peso 3601,91 Kg,
26	GMCE	26-GMCE-000978		DRP AUTOMATIZACIÓN SA	EXPO PY BLUE DESIGN MÁQUINA	26001EC01016266J	12/03/2026	 
26	GMCE	26-GMCE-000977		SOCIEDAD DE SAN PABLO	EXPO CHILE	26073EC01006257R	13/03/2026	EXPO CHILE
26	GMCE	26-GMCE-000969	 	CRUX MARINE SAS 	CARP_LOTE1_FCE4-43	26026EC01001101V	11/03/2026	EXPORT TERRESTRE A URUGUAY FTLx2 CAMIONES_FC UY A104
26	GMCE	26-GMCE-000968		CRUX MARINE SAS 	CARP_LOTE2_FCE4-44	26026EC01001140B	13/03/2026	EXPORT TERRESTRE A URUGUAY FTLx2 CAMIONES_FC UY A105
26	GMCE	26-GMCE-000949		EDICIONES LEA S.A.	expo a Ecuador	26001EC01006354G	29/01/2026	expo a Ecuador
26	GMCE	26-GMCE-000908		MEDINA CARLOS ESTEBAN	EXPO CALDERA ISG SA FCE 00008-00000003	26012EC01004082E	03/08/2026	EXPORTACION TERRESTRE A PARAGUAY
25	GMCE	25-GMCE-000915		ACG AIRE SRL	ESPACIO FRIO SA 00006-00000105	26001EC01000673E	06/01/2026	 
25	GMCE	25-GMCE-000894		CRUX MARINE SAS 	00004-00000042	25001EC01083914M	10/12/2025	EXPORT TERRESTRE CONSOLIDADO BUE/ASU GM CARGO
25	GMCE	25-GMCE-000878		ARGUL Y CIA SA	0005-00002482	25001EC01080384K	27/11/2025	 
25	GMCE	25-GMCE-000870		ENERGY CONTROL SRL	00003-00000246	25001EC01079931Z	26/11/2025	 
25	GMCE	25-GMCE-000862		LUMINIAS SRL	00100-00000009	25073EC01027798G	13/11/2025	 
25	GMCE	25-GMCE-000854		ASOCIACION HIJAS DE SAN PABLO	00061-00000130	25073EC01027117Y	07/11/2025	 
25	GMCE	25-GMCE-000845		EDICIONES LOGOS 	FE 00008-00000420	25001EC01076346N	11/11/2025	 
25	GMCE	25-GMCE-000843	 	FARMATRADE SRL	00003-00000482	25001EC01070863L	21/10/2025	 
25	GMCE	25-GMCE-000842		DOMINGUEZ LAB	24092025	25073EC01025501J	22/10/2025	 
25	GMCE	25-GMCE-000835		CASANO GRAFICA SA	00003-00000035	25001EC01068499A	13/10/2025	 
25	GMCE	25-GMCE-000831		ASOCIACION CASA EDITORA SUDAMERICAN	00009-00005833	25001EC03011059F	13/10/2025	ENVÍO A PERÚ: ASOCIACION SERVICIO EDUCACIONAL HOGAR Y SALUD 45 PALLETS ; 2 CAMIONES; 3043 CAJAS. Depósito Fiscal Mruchison.  
25	GMCE	25-GMCE-000828		ASOCIACION CASA EDITORA SUDAMERICAN	00009-00005827	25001EC03010790G	06/10/2025	00009-00005827 Asociación Servicio Educacional Hogar y Salud. EXPORTACION A PERU. 18 pallets .Depósito Fiscal Murchison.
25	GMCE	25-GMCE-000820		TECNIFARM SRL		25012EC01005561G	02/10/2025	 
25	GMCE	25-GMCE-000809	 	HEAT TRACE ARGENTINA S.A.	FCE-4-098 NELSON ORLANDO HERMIDA SA	25001EC01065729Z	30/09/2025	EXPORTACIÓN TERRESTRE LTL TRANSPORTE TIEMPO NUEVO
25	GMCE	25-GMCE-000770		CRUX MARINE SAS 	FCE-4-39 ARTE Y ESTRUCTURA SA	25001EC01057079P	27/08/2025	EXPO TERRESTRE CONSOLIDADA BUE/ASU. TTE GMCARGO
25	GMCE	25-GMCE-000757		CRUX MARINE SAS 	FCE-4-38 ARTE Y ESTRUCTURA SA	25012EC01004925J	14/08/2025	EXPO FTL A PARAGUAY
25	GMCE	25-GMCE-000753		CIRIGLIANO SA	FCE-13-2 FADIMAX SA (UY)	25001EC01054615X	19/08/2025	EXPO EXW JUNIN/ DEFIBA LTL TTE TIEMPO NUEVO
25	GMCE	25-GMCE-000752		A Z EDITORA S.A.	E-998-144 BOOKSHOP SA	25001EC01052867P	11/08/2025	Consolidado Logística Lerol  LOGENPOL  (PACHECO PCIA DE BUENOS AIRES)  Exportación Bookshop S.A.Montevideo Uruguay
25	GMCE	25-GMCE-000737	 	CAVALIERI SA	E-00004-00000336	25001EC01048065K	23/07/2025	Expo- Paraguay. Camión_consolidado .
25	GMCE	25-GMCE-000729		ASOCIACION CASA EDITORA SUDAMERICAN	EXPO PARAGUAY_FCE-9-5793	25001EC01049146L	28/07/2025	EXPORTACION TERRESTRE CONSOLIDADA TTE: GM CARGO SRL
25	GMCE	25-GMCE-000715		COMPRIBAND SRL	FCE-56_METALURG VEGA	25001EC01040224W	24/06/2025	EXPO EXW CONSOLIDADO GMC A PARAGUAY_GMCL2440
25	GMCE	25-GMCE-000698		VUL TRACK SA	E 00006-00000022	25001EC01031168G	20/05/2025	Expo- Paraguay. Camión_consolidado  Carga viene desde Mar del Plata.
25	GMCE	25-GMCE-000692		CRUX MARINE SAS 	FCE-4-33_ARTE & ESTRUCTURA	25001EC01029879W	15/05/2025	EXPO A PARAGUAY_LTL TTE GM CARGO_FC CRUX UY: A102
25	GMCE	25-GMCE-000690		HEAT TRACE ARGENTINA S.A.	FCE-4-092_ALCOHOLES DEL URUGUAY SA	25001EC01029777T	15/05/2025	EXPORTACION TERRESTRE LTL TTE: TIEMPO NUEVO
25	GMCE	25-GMCE-000689	 	ARG DE GRAAF S.A.		25001EC01029215G	13/05/2025	CAMION COMPLETO AGRO LOGISTICA  BIMBO DE PARAGUAY SA Son Pallets de Pasta de Mani. CROP 2024
25	GMCE	25-GMCE-000681		CRUX MARINE SAS 	FCE-4-32_CRUX (UY) INV: 101	25001EC01024842H	23/04/2025	EXPORT TERRESTRE A PARAGUAY_TTE: GM CARGO SRL
25	GMCE	25-GMCE-000680		INCALFOOD SRL	FCE-8-8_VERTEX SA (PARAGUAY)	25001EC01024761H	23/04/2025	EXPORTACION TERRESTRE A PARAGUAY_CONSOLIDADO_TTE: GM CARGO SRL
25	GMCE	25-GMCE-000674		WEISZ INSTRUMENTOS SA	FCE-6000-203	25001EC01021130R	08/04/2025	EXPORTACION A URUGUAY_TERRESTRE CONSOLIDADO_TTE. TIEMPO NUEVO
25	GMCE	25-GMCE-000663		GM CARGO SRL	ARENA DE SILICE x 87TONS	25046EC01000171F	04/04/2025	3 FTL SEMIS_ADUANA: POSADAS_TTE: GMC/ AGROLOGISTICA
25	GMCE	25-GMCE-000661		GM CARGO SRL	FCE-5-38_PERDRIEL AUTOCHAPA/ DARONIL	25001EC01016657M	18/03/2025	EXPORTACION LTL A URUGUAY_TTE ROLANDO
25	GMCE	25-GMCE-000655		CRUX MARINE SAS 	EXPO AEROMARINE_CRUX UY INV. A	25001EC01015491H	13/03/2025	EXPORTACION TERRESTRE AR/UY VIA CARLOS PATRON
25	GMCE	25-GMCE-000650	 	A Z EDITORA S.A.	BOOKS del Sur LLC	25073EC01004671Y	26/02/2025	Expo aèrea Ezeiza.
25	GMCE	25-GMCE-000647		ACG AIRE SRL	EXPO EXW CONSOL A PY	25001EC01015296K	13/03/2025	EXPORTADOR: ACG AIRE SRL_FCE100
25	GMCE	25-GMCE-000646		CRUX MARINE SAS 	EXPO EXW A PARAGUAY_FCE 28	25012EC01000968M	18/02/2025	VIA CRUX URUGUAY FC A15
24	GMCE	24-GMCE-000635		GM CARGO SRL	FCE-5-37_PLS_CONMEBOL	25012EC01000253W	17/01/2025	RETORNO FINAL CONMEBOL LIBERTADORES
