ej	tipo	numero	do	cliente	ref_cliente	destinacion	fecha	descripcion
26	GMCI	26-GMCI-001168		GM CARGO SRL	JAUSER  MBL: 270895276	26001TRM4008000M	16/09/2026	JAUSER  MBL: 270895276
26	GMCI	26-GMCI-001163		FOX-TEX SA	SAKIRA SA INV A 751	26026IC05002277V	15/09/2026	 
26	GMCI	26-GMCI-001162		ONECLICK ARGENTINO S.R.L.	ONECLICK - IMPO 702 (CMI 7182)	26001TRM4007827F	11/09/2026	TRM 4PLTS 2284.16KGS TEFASA2/ZFLP
26	GMCI	26-GMCI-001161		INDUSTRIAS MAR SAS	26/02081_INDUSTRIAS MAR SAS	26001TRM4007748H	08/09/2026	TRM4 1X40HC TRP/CACEC+CLIENTE/BUE
26	GMCI	26-GMCI-001159		CRUX MARINE SAS 	ARROW ELECTRONICS INV 031201658	26001IC04179541W	09/09/2026	 
26	GMCI	26-GMCI-001152	 	AUSTRAL SOUTH POLE SAS	26/01296 PCC_AUSTRAL SOUTH PONE SAS	26001TRM4007802V	10/09/2026	TRM 1X40H BUE/CACEC+VALLE ESCONDIDO/BUE
26	GMCI	26-GMCI-001150		W.MAX SRL	RECICLA MAS INV 001-002 0000052	26012IC04001037X	03/09/2026	 
26	GMCI	26-GMCI-001148	 	TEJAMAX SA	OP4212 || TEJAMAX	26008TRM4000532V	11/09/2026	TRM RO-RO ZARATE/ CORDOBA
26	GMCI	26-GMCI-001141		M A COMERCIAL SRL	26/01684M A COMERCIAL SRL	26001TRM4007545C	03/09/2026	TRM4 1X20 BUE/ZOFRACOR/MALAGUEÑO/BUE
26	GMCI	26-GMCI-001138		SOCIEDAD DE SAN PABLO	SHENZHEN JINHAO COLOR PRINTING CO., LTD.	26001IC04177242S	07/09/2026	SHENZHEN JINHAO COLOR PRINTING CO; LTD INV JHY20241211 Contenedor China  Canal Verde. Biblias + Impresos.
26	GMCI	26-GMCI-001136		SOCIEDAD DE SAN PABLO	G.C. LOYOLA INV 2640206	26001IC04174976G	02/09/2026	Consolidado España  CONFERENCIA EPISCOPAL ESPAÑOLA / CAUCE LIBROS / ED Bultos:5 Kg:1.625,600 Canal: Verde
26	GMCI	26-GMCI-001135		CELULOSA CANNING SA	PEREZ TRADING INV 147102	26042IC05024214Y	14/09/2026	RODO 542
26	GMCI	26-GMCI-001134		CELULOSA CANNING SA	PEREZ TRADING INV 147100	26042IC05024600N	17/09/2026	RODO 541
26	GMCI	26-GMCI-001133		CELULOSA CANNING SA	PEREZ TRADING INV 147098	26042IC05023880W	10/09/2026	RODO 540
26	GMCI	26-GMCI-001131		CELULOSA CANNING SA	PEREZ TRADING INV 146775	26042IC05023879H	10/09/2026	RODO 527
26	GMCI	26-GMCI-001130		CELULOSA CANNING SA	PEREZ TRADING INV 146758	26042IC05022807U	31/08/2026	RODO 526
26	GMCI	26-GMCI-001129		CELULOSA CANNING SA	PEREZ TRADING INV 146751	26042IC05022577B	27/08/2026	RODO 525
26	GMCI	26-GMCI-001128		CELULOSA CANNING SA	PEREZ TRADING INV 146689	26042IC05022147R	25/08/2026	 
26	GMCI	26-GMCI-001127		ELEVEN TRADE SRL	26/101816_ELEVEN TRADE SRL	26001TRM4007006R	19/08/2026	20/08 TRM4 2X40H BUE/PUERTO DE SANTA FE/ BUE
26	GMCI	26-GMCI-001126		CRUX MARINE SAS 	NORTEK INV 57390	26001IC04165119S	21/08/2026	IMPORT AEREA DHL
26	GMCI	26-GMCI-001125		PROBELT S.R.L.	P103-23	26001IC04166351R	24/08/2026	P103-23
26	GMCI	26-GMCI-001124		HERNANDEZ CARLOS RAFAEL Y HERNANDEZ	26MH331045	26001IC04177424U	07/09/2026	26MH331045
26	GMCI	26-GMCI-001123		PLANTIUM S.A.	ZS202605004-1 _ PLANTIUM SA	26073TRM4002173D	11/08/2026	TRM4 3PKG 447KGS EZE/ZF VILLA CONSTITUCION
26	GMCI	26-GMCI-001122		MISIONEROS CLARETIANOS O HIJOS DEL 	NANJING INV 610-26070019	26001IC04183647B	14/09/2026	 
26	GMCI	26-GMCI-001121		3BL SRL	ALMENDRAS CHILE	26075IC04000792B	02/09/2026	TERRANUT PROFORMA INV BL3A-2026
26	GMCI	26-GMCI-001120	 	ONECLICK ARGENTINO S.R.L.	ONECLICK - IMPO 700 (CMI 7155)	26001TRM4006799M	14/08/2026	TRM4 DFNORTE (ex MURCHISON)/ ZF LA PLATA 8PKG 1630.50KGS
